city,postcode,living_space,rooms,rent,description,year_built,floor,rent_per_sqm,scam_label,city_tier
Düsseldorf,40213,43.9,1.0,610.0,Bright apartment with great views of the city.,1992,8,13.9,0,2
Stuttgart,70186,46.4,1.4,403.0,URGENT: Must rent immediately. Wire transfer required before keys.,2002,4,8.68,1,1
Hamburg,20148,31.1,1.4,242.0,I won the lottery and leaving Germany. Quick decision needed.,1988,3,7.8,1,2
Duisburg,47055,133.5,4.6,1697.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2006,6,12.71,0,4
Hannover,30161,44.5,1.2,501.0,Newly built apartment with underground parking.,1985,4,11.26,0,3
Berlin,10963,143.1,4.6,1870.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1988,8,13.07,0,2
Hamburg,20148,54.1,1.6,425.0,My company is relocating me abroad. Send first month rent to reserve.,1971,8,7.85,1,2
Nuremberg,90429,47.6,2.0,307.0,My company is relocating me abroad. Send first month rent to reserve.,2004,5,6.44,1,3
Essen,45127,127.4,4.4,1025.0,Bright apartment with great views of the city.,1923,1,8.05,0,4
Stuttgart,70188,140.6,4.9,669.0,"Cannot meet in person, will send keys by mail after payment.",1993,1,4.76,1,1
Essen,45130,42.6,1.3,302.0,Altbauwohnung mit hohen Decken und Parkettboden.,2015,3,7.09,0,4
Duisburg,47055,26.5,1.2,157.0,Newly built apartment with underground parking.,2004,4,5.92,0,4
Cologne,50674,58.2,1.6,1354.0,Close to university and city center.,1954,0,23.27,0,2
Munich,81669,68.8,2.1,1222.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2002,2,17.76,0,1
Nuremberg,90419,71.9,2.1,878.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1971,3,12.21,0,3
Cologne,50670,39.6,1.0,465.0,Newly built apartment with underground parking.,1922,5,11.74,0,2
Düsseldorf,40215,97.3,2.8,1383.0,Moderne Wohnung mit Fußbodenheizung.,1911,2,14.21,0,2
Berlin,10115,90.6,3.4,975.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1910,1,10.76,0,2
Dresden,01109,148.3,5.4,1145.0,Bright apartment with great views of the city.,1933,2,7.72,0,3
Düsseldorf,40211,142.8,4.8,4313.0,Modern renovated apartment near public transport.,1994,4,30.2,0,2
Munich,80469,49.1,1.7,1242.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2021,3,25.3,0,1
Leipzig,04107,141.3,5.0,782.0,Green surroundings with garden access.,1902,5,5.53,0,3
Düsseldorf,40215,55.2,1.7,333.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,2004,4,6.02,1,2
Leipzig,04177,54.6,1.9,205.0,Too good to be true? It's real! Just send deposit first.,1935,1,3.75,1,3
Berlin,10178,52.3,1.3,872.0,Green surroundings with garden access.,1945,3,16.67,0,2
Düsseldorf,40213,139.8,4.4,1816.0,Newly built apartment with underground parking.,1933,7,12.99,0,2
Cologne,50672,30.9,1.2,336.0,Frisch saniert mit neuer Küche und Bad.,1976,3,10.87,0,2
Cologne,50667,26.3,1.0,339.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1956,0,12.89,0,2
Dresden,01097,55.0,1.5,529.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1947,2,9.62,0,3
Dresden,01067,70.7,2.3,513.0,Sonnige Südausrichtung mit großer Terrasse.,1999,2,7.26,0,3
Essen,45128,76.9,2.9,677.0,Green surroundings with garden access.,1928,3,8.8,0,4
Dresden,01097,132.3,3.9,1441.0,Altbauwohnung mit hohen Decken und Parkettboden.,1964,2,10.89,0,3
Stuttgart,70182,108.0,3.3,1942.0,Sonnige Südausrichtung mit großer Terrasse.,1980,8,17.98,0,1
Cologne,50667,107.6,4.0,1469.0,"Quiet neighborhood, perfect for families.",1984,6,13.65,0,2
Stuttgart,70188,47.5,1.4,852.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2000,8,17.94,0,1
Stuttgart,70188,141.1,5.0,956.0,My company is relocating me abroad. Send first month rent to reserve.,2010,4,6.78,1,1
Leipzig,04179,99.8,2.9,314.0,"Ich bin im Ausland, bitte Miete vorab überweisen für Schlüsselübergabe.",1941,5,3.15,1,3
Duisburg,47057,149.7,5.4,1890.0,"Quiet neighborhood, perfect for families.",1986,7,12.62,0,4
Düsseldorf,40217,145.3,4.6,2593.0,Frisch saniert mit neuer Küche und Bad.,1953,3,17.84,0,2
Cologne,50674,55.6,1.4,604.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1949,1,10.86,0,2
Berlin,10179,28.8,1.1,493.0,Sonnige Südausrichtung mit großer Terrasse.,2014,8,17.12,0,2
Hannover,30161,44.4,1.4,548.0,"Quiet neighborhood, perfect for families.",1913,3,12.34,0,3
Duisburg,47057,28.2,1.3,343.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1981,5,12.17,0,4
Frankfurt,60313,143.5,4.8,3027.0,Newly built apartment with underground parking.,1981,3,21.1,0,1
Berlin,10179,73.5,2.3,957.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1950,8,13.02,0,2
Leipzig,04105,48.0,1.7,162.0,Keine Besichtigung möglich. Schlüssel werden nach Zahlung geschickt.,1944,6,3.37,1,3
Essen,45130,129.5,4.1,746.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1986,0,5.76,0,4
Berlin,10179,32.9,1.0,616.0,Frisch saniert mit neuer Küche und Bad.,1983,4,18.72,0,2
Stuttgart,70178,64.0,2.6,2186.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1971,0,34.16,0,1
Hamburg,20146,120.9,4.5,1946.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2010,3,16.1,0,2
Berlin,10119,64.9,1.8,613.0,"Ich bin im Ausland, bitte Miete vorab überweisen für Schlüsselübergabe.",1957,4,9.45,1,2
Nuremberg,90403,110.6,3.7,1291.0,"Quiet neighborhood, perfect for families.",1940,3,11.67,0,3
Dortmund,44143,26.9,1.4,224.0,Newly built apartment with underground parking.,1906,5,8.33,0,4
Dresden,01067,134.0,4.0,1011.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2003,2,7.54,0,3
Stuttgart,70173,44.0,1.3,901.0,Newly built apartment with underground parking.,2006,5,20.47,0,1
Duisburg,47058,37.2,1.0,256.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1902,5,6.88,0,4
Hannover,30161,44.8,1.4,630.0,Modern renovated apartment near public transport.,1995,4,14.06,0,3
Düsseldorf,40210,39.2,1.3,489.0,Altbauwohnung mit hohen Decken und Parkettboden.,1996,0,12.47,0,2
Berlin,10179,87.7,3.3,1662.0,Newly built apartment with underground parking.,2017,1,18.95,0,2
Essen,45127,62.4,2.4,518.0,Bright apartment with great views of the city.,1945,5,8.3,0,4
Munich,81669,37.6,1.7,1053.0,"Quiet neighborhood, perfect for families.",1994,2,28.0,0,1
Frankfurt,60311,145.1,5.3,2334.0,Altbauwohnung mit hohen Decken und Parkettboden.,1940,4,16.09,0,1
Munich,81667,120.1,4.5,2854.0,Moderne Wohnung mit Fußbodenheizung.,2019,1,23.76,0,1
Cologne,50676,28.1,1.0,329.0,Green surroundings with garden access.,1907,1,11.71,0,2
Leipzig,04107,112.9,4.0,1191.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2007,5,10.55,0,3
Munich,81667,114.8,3.5,2672.0,Close to university and city center.,1909,5,23.28,0,1
Leipzig,04109,102.2,3.0,1375.0,Green surroundings with garden access.,1994,7,13.45,0,3
Düsseldorf,40217,148.7,5.0,1856.0,Sonnige Südausrichtung mit großer Terrasse.,1916,6,12.48,0,2
Leipzig,04103,81.4,3.2,756.0,Green surroundings with garden access.,1993,2,9.29,0,3
Leipzig,04105,39.1,1.5,363.0,Well-maintained building with elevator.,2021,7,9.28,0,3
Duisburg,47058,131.3,4.7,880.0,Green surroundings with garden access.,2020,7,6.7,0,4
Essen,45133,140.3,5.0,889.0,Newly built apartment with underground parking.,2000,8,6.34,0,4
Leipzig,04105,80.3,2.5,612.0,Newly built apartment with underground parking.,1981,7,7.62,0,3
Dortmund,44137,103.2,3.5,849.0,Newly built apartment with underground parking.,1926,1,8.23,0,4
Dortmund,44135,106.0,3.9,817.0,Close to university and city center.,2012,7,7.71,0,4
Stuttgart,70188,102.8,3.1,1428.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1963,2,13.89,0,1
Dortmund,44137,32.0,1.2,310.0,Modern renovated apartment near public transport.,1966,1,9.67,0,4
Hamburg,20097,93.0,3.3,1468.0,Green surroundings with garden access.,1943,0,15.78,0,2
Hamburg,20144,113.6,3.5,1780.0,Frisch saniert mit neuer Küche und Bad.,1936,2,15.67,0,2
Berlin,10119,34.3,1.0,604.0,Well-maintained building with elevator.,1991,6,17.61,0,2
Frankfurt,60313,46.7,1.8,1122.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2016,7,24.03,0,1
Hannover,30161,94.9,2.7,1503.0,Bright apartment with great views of the city.,1909,5,15.84,0,3
Düsseldorf,40219,90.2,2.8,2199.0,Modern renovated apartment near public transport.,1982,5,24.38,0,2
Düsseldorf,40210,70.5,1.9,430.0,"Cannot meet in person, will send keys by mail after payment.",1900,3,6.1,1,2
Munich,80539,47.3,1.5,1318.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1999,7,27.86,0,1
Düsseldorf,40215,93.9,2.7,1124.0,Newly built apartment with underground parking.,1963,8,11.97,0,2
Frankfurt,60318,53.8,1.3,573.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,1981,8,10.65,1,1
Stuttgart,70182,53.3,1.5,268.0,"Ich bin im Ausland, bitte Miete vorab überweisen für Schlüsselübergabe.",1905,2,5.04,1,1
Dresden,01069,134.4,4.5,556.0,I won the lottery and leaving Germany. Quick decision needed.,2020,8,4.14,1,3
Duisburg,47055,118.0,4.1,536.0,URGENT: Must rent immediately. Wire transfer required before keys.,1993,6,4.54,1,4
Nuremberg,90429,89.2,3.3,949.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1933,1,10.64,0,3
Dresden,01127,56.6,2.3,638.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1969,5,11.27,0,3
Dortmund,44135,36.3,1.0,258.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2022,1,7.11,0,4
Düsseldorf,40215,64.9,2.5,881.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1913,8,13.57,0,2
Dortmund,44139,67.0,2.7,659.0,"Quiet neighborhood, perfect for families.",1971,7,9.84,0,4
Frankfurt,60316,101.4,3.1,1322.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2014,1,13.04,0,1
Essen,45133,130.4,4.8,854.0,Newly built apartment with underground parking.,1913,3,6.55,0,4
Berlin,10117,77.8,3.1,1285.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1996,2,16.52,0,2
Dortmund,44145,85.8,3.3,230.0,"I am currently abroad, please send deposit via Western Union before viewing.",1917,7,2.68,1,4
Munich,81667,114.1,4.0,3822.0,Altbauwohnung mit hohen Decken und Parkettboden.,1991,7,33.49,0,1
Düsseldorf,40210,44.4,1.4,797.0,Green surroundings with garden access.,1982,6,17.95,0,2
Nuremberg,90419,143.3,4.7,1330.0,Newly built apartment with underground parking.,1912,3,9.28,0,3
Berlin,10119,80.7,2.9,430.0,"I am currently abroad, please send deposit via Western Union before viewing.",1984,1,5.33,1,2
Berlin,10117,65.8,2.7,395.0,Too good to be true? It's real! Just send deposit first.,1953,6,6.0,1,2
Duisburg,47053,89.0,2.9,806.0,Altbauwohnung mit hohen Decken und Parkettboden.,2008,8,9.06,0,4
Essen,45128,82.2,2.3,690.0,Bright apartment with great views of the city.,1978,3,8.39,0,4
Munich,80469,70.9,1.9,3117.0,Well-maintained building with elevator.,1977,4,43.96,0,1
Cologne,50674,70.6,2.3,1237.0,Modern renovated apartment near public transport.,1976,6,17.52,0,2
Nuremberg,90429,144.6,5.0,2953.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1981,0,20.42,0,3
Dresden,01067,97.5,2.9,931.0,Newly built apartment with underground parking.,2017,5,9.55,0,3
Essen,45134,149.9,4.8,1278.0,Altbauwohnung mit hohen Decken und Parkettboden.,1986,8,8.53,0,4
Frankfurt,60318,120.4,4.4,1216.0,"Cannot meet in person, will send keys by mail after payment.",2011,8,10.1,1,1
Dortmund,44145,147.5,4.8,1456.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1977,3,9.87,0,4
Nuremberg,90419,48.1,2.1,555.0,Modern renovated apartment near public transport.,1953,1,11.54,0,3
Essen,45133,98.1,3.1,988.0,Well-maintained building with elevator.,1942,8,10.07,0,4
Leipzig,04107,72.2,1.9,462.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1977,0,6.4,0,3
Duisburg,47051,117.1,4.1,803.0,Newly built apartment with underground parking.,1926,2,6.86,0,4
Nuremberg,90429,145.2,5.2,1290.0,Well-maintained building with elevator.,2016,0,8.88,0,3
Munich,80469,34.4,1.0,1198.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1973,0,34.84,0,1
Essen,45131,123.0,3.6,978.0,Modern renovated apartment near public transport.,1906,4,7.95,0,4
Stuttgart,70186,44.8,1.4,839.0,Newly built apartment with underground parking.,1964,1,18.73,0,1
Hamburg,20146,88.8,2.8,1716.0,Altbauwohnung mit hohen Decken und Parkettboden.,1914,8,19.32,0,2
Essen,45128,140.1,4.3,940.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1900,4,6.71,0,4
Duisburg,47051,140.0,4.8,384.0,Too good to be true? It's real! Just send deposit first.,1958,5,2.74,1,4
Frankfurt,60311,78.2,2.4,1249.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1967,0,15.97,0,1
Nuremberg,90409,27.4,1.2,328.0,Well-maintained building with elevator.,1934,1,11.97,0,3
Stuttgart,70186,59.0,1.8,873.0,"Quiet neighborhood, perfect for families.",1903,3,14.8,0,1
Hamburg,20097,142.6,5.1,1986.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2021,0,13.93,0,2
Essen,45133,132.7,4.4,322.0,"I am currently abroad, please send deposit via Western Union before viewing.",1922,0,2.43,1,4
Düsseldorf,40211,76.2,2.9,1175.0,Sonnige Südausrichtung mit großer Terrasse.,1926,8,15.42,0,2
Dresden,01109,121.3,4.1,1740.0,Newly built apartment with underground parking.,1989,4,14.34,0,3
Leipzig,04177,63.7,2.2,573.0,Modern renovated apartment near public transport.,1921,7,9.0,0,3
Nuremberg,90408,87.0,2.7,323.0,"I am currently abroad, please send deposit via Western Union before viewing.",2005,1,3.71,1,3
Dresden,01097,59.6,2.1,239.0,"I am currently abroad, please send deposit via Western Union before viewing.",2016,1,4.01,1,3
Cologne,50668,147.1,4.9,1440.0,Modern renovated apartment near public transport.,1935,5,9.79,0,2
Duisburg,47051,63.8,2.2,498.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2016,0,7.81,0,4
Leipzig,04103,145.9,4.8,1143.0,Green surroundings with garden access.,1957,3,7.83,0,3
Munich,81667,62.1,2.6,1120.0,Newly built apartment with underground parking.,1959,7,18.04,0,1
Cologne,50674,131.9,4.0,1798.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1907,6,13.63,0,2
Munich,80335,87.7,2.8,2001.0,Close to university and city center.,1916,0,22.82,0,1
Leipzig,04103,52.5,1.3,813.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2020,0,15.48,0,3
Cologne,50674,143.9,5.2,2419.0,Moderne Wohnung mit Fußbodenheizung.,1967,7,16.81,0,2
Dortmund,44145,51.9,1.4,237.0,Keine Besichtigung möglich. Schlüssel werden nach Zahlung geschickt.,1929,6,4.57,1,4
Frankfurt,60311,146.5,5.0,1717.0,Green surroundings with garden access.,1941,1,11.72,0,1
Essen,45131,60.5,1.8,447.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1920,6,7.39,0,4
Frankfurt,60318,108.2,3.4,1644.0,Moderne Wohnung mit Fußbodenheizung.,2013,5,15.19,0,1
Essen,45127,60.7,2.1,549.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2013,1,9.04,0,4
Berlin,10119,107.1,3.5,552.0,I won the lottery and leaving Germany. Quick decision needed.,1930,6,5.15,1,2
Duisburg,47059,45.8,1.5,398.0,Newly built apartment with underground parking.,1993,2,8.69,0,4
Leipzig,04109,69.9,2.7,995.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1991,7,14.23,0,3
Frankfurt,60322,90.8,2.9,1081.0,URGENT: Must rent immediately. Wire transfer required before keys.,1973,4,11.9,1,1
Hannover,30169,60.4,1.7,171.0,My company is relocating me abroad. Send first month rent to reserve.,1958,5,2.82,1,3
Berlin,10179,142.2,4.5,3245.0,Sonnige Südausrichtung mit großer Terrasse.,1977,1,22.82,0,2
Berlin,10115,110.0,3.6,1811.0,Modern renovated apartment near public transport.,1923,1,16.46,0,2
Dortmund,44145,127.4,4.0,985.0,"Quiet neighborhood, perfect for families.",1906,4,7.73,0,4
Stuttgart,70188,149.4,5.1,1972.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1907,1,13.2,0,1
Stuttgart,70186,27.8,1.0,1081.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1969,7,38.9,0,1
Hamburg,20099,46.5,1.5,968.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1953,7,20.82,0,2
Duisburg,47059,115.9,4.2,1313.0,Frisch saniert mit neuer Küche und Bad.,1999,2,11.33,0,4
Cologne,50667,98.0,3.2,984.0,Well-maintained building with elevator.,2006,2,10.04,0,2
Berlin,10117,119.9,3.7,1313.0,Bright apartment with great views of the city.,1972,8,10.95,0,2
Hannover,30167,122.3,4.0,1478.0,Frisch saniert mit neuer Küche und Bad.,1927,5,12.08,0,3
Leipzig,04105,111.7,3.6,1703.0,Close to university and city center.,1911,4,15.25,0,3
Essen,45133,28.1,1.0,251.0,Moderne Wohnung mit Fußbodenheizung.,2013,4,8.93,0,4
Munich,80335,43.2,1.0,887.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1901,2,20.53,0,1
Hannover,30169,51.8,1.4,475.0,Well-maintained building with elevator.,1941,7,9.17,0,3
Nuremberg,90429,137.5,4.6,1558.0,Bright apartment with great views of the city.,1969,2,11.33,0,3
Hannover,30159,120.6,4.5,1197.0,Bright apartment with great views of the city.,1917,3,9.93,0,3
Hannover,30163,72.8,2.3,630.0,Sonnige Südausrichtung mit großer Terrasse.,1905,0,8.65,0,3
Berlin,10115,45.1,1.1,769.0,Frisch saniert mit neuer Küche und Bad.,1912,7,17.05,0,2
Nuremberg,90403,103.4,3.5,1177.0,Green surroundings with garden access.,1950,4,11.38,0,3
Berlin,10243,71.9,2.2,1073.0,Frisch saniert mit neuer Küche und Bad.,1904,6,14.92,0,2
Nuremberg,90403,108.0,3.2,1751.0,Moderne Wohnung mit Fußbodenheizung.,1940,0,16.22,0,3
Munich,81667,147.6,5.3,5339.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1946,6,36.17,0,1
Dresden,01097,105.5,3.7,805.0,Bright apartment with great views of the city.,1964,1,7.63,0,3
Düsseldorf,40219,44.7,1.6,720.0,Modern renovated apartment near public transport.,2019,6,16.11,0,2
Dortmund,44139,98.7,3.2,632.0,Green surroundings with garden access.,1994,0,6.4,0,4
Duisburg,47055,89.7,2.9,709.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1922,2,7.91,0,4
Frankfurt,60325,78.4,2.7,1780.0,"Quiet neighborhood, perfect for families.",2023,7,22.7,0,1
Nuremberg,90419,31.5,1.0,403.0,Close to university and city center.,1976,1,12.79,0,3
Hamburg,20146,94.8,3.2,1887.0,Sonnige Südausrichtung mit großer Terrasse.,1958,4,19.9,0,2
Cologne,50674,56.1,1.4,592.0,Green surroundings with garden access.,1941,2,10.55,0,2
Duisburg,47055,98.8,2.9,1453.0,Sonnige Südausrichtung mit großer Terrasse.,1985,2,14.7,0,4
Düsseldorf,40211,87.4,2.9,1055.0,Altbauwohnung mit hohen Decken und Parkettboden.,1935,0,12.07,0,2
Nuremberg,90402,87.2,2.9,1292.0,Modern renovated apartment near public transport.,1945,2,14.82,0,3
Cologne,50672,113.5,4.0,1297.0,Bright apartment with great views of the city.,1940,1,11.43,0,2
Dresden,01097,41.4,1.8,504.0,Altbauwohnung mit hohen Decken und Parkettboden.,1991,6,12.18,0,3
Nuremberg,90409,74.2,2.2,744.0,"Quiet neighborhood, perfect for families.",1953,6,10.03,0,3
Cologne,50672,100.2,3.0,1770.0,Bright apartment with great views of the city.,2021,4,17.66,0,2
Essen,45130,48.3,1.7,319.0,Sonnige Südausrichtung mit großer Terrasse.,1987,7,6.6,0,4
Nuremberg,90402,28.1,1.0,134.0,Keine Besichtigung möglich. Schlüssel werden nach Zahlung geschickt.,1988,6,4.78,1,3
Nuremberg,90408,59.0,2.2,728.0,Altbauwohnung mit hohen Decken und Parkettboden.,1962,4,12.34,0,3
Frankfurt,60318,35.6,1.6,288.0,My company is relocating me abroad. Send first month rent to reserve.,1913,3,8.09,1,1
Cologne,50668,139.8,4.4,1953.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1946,1,13.97,0,2
Munich,80335,130.4,4.4,2314.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2003,3,17.75,0,1
Nuremberg,90403,137.0,4.2,2397.0,Altbauwohnung mit hohen Decken und Parkettboden.,1907,2,17.5,0,3
Essen,45130,137.4,4.3,373.0,Payment required before viewing. Keys will be mailed to you.,1939,0,2.71,1,4
Dresden,01127,73.1,2.2,595.0,Bright apartment with great views of the city.,1957,0,8.14,0,3
Dortmund,44141,120.8,3.6,799.0,Close to university and city center.,2009,3,6.61,0,4
Cologne,50672,114.6,3.9,1282.0,Altbauwohnung mit hohen Decken und Parkettboden.,1954,5,11.19,0,2
Stuttgart,70173,127.4,4.4,2107.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1914,7,16.54,0,1
Frankfurt,60316,51.3,1.6,1080.0,Moderne Wohnung mit Fußbodenheizung.,1992,4,21.05,0,1
Essen,45131,124.6,3.9,1066.0,Moderne Wohnung mit Fußbodenheizung.,1937,6,8.56,0,4
Frankfurt,60311,136.1,4.2,4009.0,Close to university and city center.,1914,2,29.46,0,1
Essen,45131,130.6,4.3,875.0,Sonnige Südausrichtung mit großer Terrasse.,1926,8,6.7,0,4
Munich,81667,144.2,4.9,1858.0,Payment required before viewing. Keys will be mailed to you.,1916,8,12.89,1,1
Hannover,30169,107.7,3.1,989.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1976,4,9.18,0,3
Hamburg,20148,42.7,1.4,233.0,I won the lottery and leaving Germany. Quick decision needed.,1933,1,5.45,1,2
Cologne,50670,51.8,1.5,737.0,Modern renovated apartment near public transport.,2000,5,14.23,0,2
Duisburg,47055,34.5,1.0,189.0,"Quiet neighborhood, perfect for families.",1970,7,5.48,0,4
Hamburg,20144,142.5,4.5,2095.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",2001,0,14.7,0,2
Dresden,01069,113.1,4.2,927.0,Altbauwohnung mit hohen Decken und Parkettboden.,1909,1,8.2,0,3
Stuttgart,70178,89.9,2.7,2477.0,Frisch saniert mit neuer Küche und Bad.,1923,4,27.56,0,1
Berlin,10119,100.2,3.4,1124.0,"Quiet neighborhood, perfect for families.",1970,3,11.22,0,2
Dortmund,44143,115.5,3.9,1081.0,"Quiet neighborhood, perfect for families.",2011,6,9.36,0,4
Dortmund,44135,116.0,3.6,1574.0,Frisch saniert mit neuer Küche und Bad.,1982,6,13.57,0,4
Cologne,50676,128.6,4.8,652.0,Payment required before viewing. Keys will be mailed to you.,1927,0,5.07,1,2
Dortmund,44135,57.6,2.0,535.0,Altbauwohnung mit hohen Decken und Parkettboden.,1969,4,9.29,0,4
Hamburg,20146,52.4,2.2,957.0,Moderne Wohnung mit Fußbodenheizung.,2021,4,18.26,0,2
Nuremberg,90409,124.1,3.8,511.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,1986,2,4.12,1,3
Frankfurt,60316,103.8,3.8,1424.0,Well-maintained building with elevator.,1978,4,13.72,0,1
Duisburg,47055,37.9,1.7,133.0,Keine Besichtigung möglich. Schlüssel werden nach Zahlung geschickt.,1971,6,3.52,1,4
Nuremberg,90408,146.5,5.2,1413.0,Green surroundings with garden access.,2009,1,9.65,0,3
Cologne,50674,31.4,1.0,322.0,Bright apartment with great views of the city.,1913,0,10.25,0,2
Nuremberg,90409,118.7,4.1,1212.0,Sonnige Südausrichtung mit großer Terrasse.,1964,8,10.21,0,3
Duisburg,47057,96.0,3.2,618.0,Moderne Wohnung mit Fußbodenheizung.,1908,4,6.44,0,4
Dresden,01109,40.8,1.4,533.0,Moderne Wohnung mit Fußbodenheizung.,1901,6,13.06,0,3
Cologne,50668,44.1,1.9,1149.0,Close to university and city center.,1971,7,26.06,0,2
Berlin,10963,77.7,2.4,679.0,URGENT: Must rent immediately. Wire transfer required before keys.,1989,5,8.74,1,2
Hannover,30163,64.1,2.5,673.0,Green surroundings with garden access.,1947,0,10.5,0,3
Stuttgart,70173,107.9,3.4,1304.0,Modern renovated apartment near public transport.,1962,3,12.09,0,1
Cologne,50670,147.3,4.7,671.0,I won the lottery and leaving Germany. Quick decision needed.,1909,8,4.55,1,2
Duisburg,47057,59.3,2.3,584.0,"Quiet neighborhood, perfect for families.",1906,4,9.84,0,4
Frankfurt,60316,66.0,2.7,1748.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2020,8,26.48,0,1
Duisburg,47057,69.2,2.5,243.0,URGENT: Must rent immediately. Wire transfer required before keys.,1927,1,3.52,1,4
Munich,80335,139.8,4.8,2285.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1957,4,16.34,0,1
Cologne,50676,63.1,2.4,753.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1971,6,11.93,0,2
Dortmund,44137,57.1,1.5,406.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1957,6,7.11,0,4
Leipzig,04107,57.6,1.9,250.0,"Cannot meet in person, will send keys by mail after payment.",1921,0,4.33,1,3
Duisburg,47059,25.8,1.0,173.0,Modern renovated apartment near public transport.,2011,8,6.71,0,4
Essen,45133,37.3,1.1,335.0,Altbauwohnung mit hohen Decken und Parkettboden.,1934,3,8.98,0,4
Dresden,01109,144.4,5.3,1272.0,Altbauwohnung mit hohen Decken und Parkettboden.,1977,8,8.81,0,3
Essen,45133,86.4,2.4,745.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1948,2,8.62,0,4
Leipzig,04103,54.8,1.4,267.0,Too good to be true? It's real! Just send deposit first.,2012,7,4.88,1,3
Dresden,01099,147.0,5.3,964.0,Close to university and city center.,1917,7,6.56,0,3
Hamburg,20095,102.3,3.8,2271.0,Frisch saniert mit neuer Küche und Bad.,1904,8,22.2,0,2
Duisburg,47058,30.9,1.0,58.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,1902,1,1.87,1,4
Duisburg,47059,31.9,1.0,94.0,"Cannot meet in person, will send keys by mail after payment.",1992,5,2.94,1,4
